"","w_cultivar","ID","Year","REP","TRT","percent_necrosis","percent_pycnidia","disease_severity"
"44","AUS4203","WAI3895",2018,2,19,35,0,3
"45","AUS4204","WAI3895",2018,1,20,20,2,2
"46","AUS4204","WAI3895",2018,2,20,100,2,5
"47","Bulgaria_88","WAI3895",2018,1,1,5,0,1
"48","Bulgaria_88","WAI3895",2018,2,1,0,0,1
"50","CPI133872","WAI3895",2018,2,5,0,0,1
"51","Currawong","WAI3895",2018,1,7,100,2,5
"52","Currawong","WAI3895",2018,2,7,100,15,5
"53","Hereward","WAI3895",2018,1,6,100,3,5
"55","Israel_493","WAI3895",2018,1,3,18,5,2
"56","Israel_493","WAI3895",2018,2,3,3,0,1
"57","Kavkaz-K4500L.6.A.4","WAI3895",2018,1,12,0,0,1
"58","Kavkaz-K4500L.6.A.4","WAI3895",2018,2,12,0,0,1
"59","Lorikeet","WAI3895",2018,1,9,50,5,3.5
"60","Lorikeet","WAI3895",2018,2,9,100,20,5
"61","MI696","WAI3895",2018,1,13,3,0,1
"62","MI696","WAI3895",2018,2,13,0,0,1
"63","Milan","WAI3895",2018,1,14,18,1,2
"64","Milan","WAI3895",2018,2,14,25,5,2.5
"65","Millewa","WAI3895",2018,1,15,3,0,1
"66","Millewa","WAI3895",2018,2,15,28,8,3
"68","Summit","WAI3895",2018,2,16,100,12,5
"69","Tadorna","WAI3895",2018,1,4,45,8,3.5
"70","Tadorna","WAI3895",2018,2,4,100,18,5
"71","Thornbill","WAI3895",2018,1,18,100,18,5
"72","Thornbill","WAI3895",2018,2,18,85,23,5
"74","Vernopolis","WAI3895",2018,2,2,100,12,5
"75","W7984","WAI3895",2018,1,8,0,0,1
"76","W7984","WAI3895",2018,2,8,3,0,1
"77","WW11288","WAI3895",2018,1,17,12,1,1.5
"78","WW11288","WAI3895",2018,2,17,100,15,5
"79","WW2449","WAI3895",2018,1,10,100,5,5
"80","WW2449","WAI3895",2018,2,10,90,5,4.5
"81","Arina","WAI3896",2018,1,11,0,0,1
"82","Arina","WAI3896",2018,1,11,0,0,1
"83","Arina","WAI3896",2018,2,11,0,0,1
"84","Arina","WAI3896",2018,2,11,0,0,1
"85","AUS4203","WAI3896",2018,1,19,35,3,3
"86","AUS4203","WAI3896",2018,1,19,75,1,4
"87","AUS4203","WAI3896",2018,2,19,100,5,5
"89","AUS4204","WAI3896",2018,1,20,28,3,2.5
"90","AUS4204","WAI3896",2018,1,20,100,5,5
"91","AUS4204","WAI3896",2018,2,20,100,2,5
"92","AUS4204","WAI3896",2018,2,20,100,8,5
"93","Bulgaria_88","WAI3896",2018,1,1,8,0,1
"94","Bulgaria_88","WAI3896",2018,1,1,0,0,1
"95","Bulgaria_88","WAI3896",2018,2,1,0,0,1
"96","Bulgaria_88","WAI3896",2018,2,1,0,0,1
"97","CPI133872","WAI3896",2018,1,5,0,0,1
"98","CPI133872","WAI3896",2018,1,5,0,0,1
"99","CPI133872","WAI3896",2018,2,5,0,0,1
"100","CPI133872","WAI3896",2018,2,5,0,0,1
"101","Currawong","WAI3896",2018,1,7,100,2,5
"103","Currawong","WAI3896",2018,2,7,100,20,5
"104","Currawong","WAI3896",2018,2,7,75,10,4.5
"106","Hereward","WAI3896",2018,1,6,80,2,4
"107","Hereward","WAI3896",2018,2,6,0,0,1
"109","Israel_493","WAI3896",2018,1,3,48,18,3.5
"110","Israel_493","WAI3896",2018,1,3,50,8,3.5
"112","Israel_493","WAI3896",2018,2,3,50,12,3.5
"113","Kavkaz-K4500L.6.A.4","WAI3896",2018,1,12,0,0,1
"114","Kavkaz-K4500L.6.A.4","WAI3896",2018,1,12,0,0,1
"115","Kavkaz-K4500L.6.A.4","WAI3896",2018,2,12,5,0,1
"116","Kavkaz-K4500L.6.A.4","WAI3896",2018,2,12,0,0,1
"117","Lorikeet","WAI3896",2018,1,9,100,8,5
"118","Lorikeet","WAI3896",2018,1,9,100,25,5
"119","Lorikeet","WAI3896",2018,2,9,100,5,5
"120","Lorikeet","WAI3896",2018,2,9,100,20,5
"121","MI696","WAI3896",2018,1,13,25,3,2.5
"123","MI696","WAI3896",2018,2,13,0,0,1
"124","MI696","WAI3896",2018,2,13,0,0,1
"125","Milan","WAI3896",2018,1,14,0,0,1
"127","Milan","WAI3896",2018,2,14,18,1,2
"128","Milan","WAI3896",2018,2,14,5,0,1
"129","Millewa","WAI3896",2018,1,15,0,0,1
"131","Millewa","WAI3896",2018,2,15,0,0,1
"132","Millewa","WAI3896",2018,2,15,3,0,1
"133","Summit","WAI3896",2018,1,16,100,5,5
"135","Summit","WAI3896",2018,2,16,100,2,5
"136","Summit","WAI3896",2018,2,16,75,20,4.5
"138","Tadorna","WAI3896",2018,1,4,50,10,3.5
"139","Tadorna","WAI3896",2018,2,4,65,2,3.5
"140","Tadorna","WAI3896",2018,2,4,100,15,5
"141","Thornbill","WAI3896",2018,1,18,100,2,5
"142","Thornbill","WAI3896",2018,1,18,100,3,5
"143","Thornbill","WAI3896",2018,2,18,100,18,5
"144","Thornbill","WAI3896",2018,2,18,45,10,3.5
"145","Vernopolis","WAI3896",2018,1,2,100,25,5
"147","Vernopolis","WAI3896",2018,2,2,45,5,3
"148","Vernopolis","WAI3896",2018,2,2,100,20,5
"150","W7984","WAI3896",2018,1,8,3,0,1
"151","W7984","WAI3896",2018,2,8,8,0,1.5
"153","WW11288","WAI3896",2018,1,17,100,3,5
"154","WW11288","WAI3896",2018,1,17,85,5,4.5
"155","WW11288","WAI3896",2018,2,17,75,8,4
"156","WW11288","WAI3896",2018,2,17,100,15,5
"157","WW2449","WAI3896",2018,1,10,100,12,5
"158","WW2449","WAI3896",2018,1,10,100,25,5
"159","WW2449","WAI3896",2018,2,10,100,7,5
"160","WW2449","WAI3896",2018,2,10,100,15,5
"161","Arina","WAI3898",2018,1,11,15,0,1.5
"162","Arina","WAI3898",2018,2,11,2,0,1
"163","AUS4203","WAI3898",2018,1,19,100,20,5
"164","AUS4203","WAI3898",2018,2,19,85,18,4.5
"165","AUS4204","WAI3898",2018,1,20,65,3,3.5
"166","AUS4204","WAI3898",2018,2,20,85,3,4
"167","Bulgaria_88","WAI3898",2018,1,1,100,2,5
"168","Bulgaria_88","WAI3898",2018,2,1,70,5,4
"169","CPI133872","WAI3898",2018,1,5,8,0,1
"170","CPI133872","WAI3898",2018,2,5,8,0,1
"171","Currawong","WAI3898",2018,1,7,90,12,4.5
"172","Currawong","WAI3898",2018,2,7,90,10,4.5
"173","Hereward","WAI3898",2018,1,6,100,10,5
"174","Hereward","WAI3898",2018,2,6,65,0,3.5
"175","Israel_493","WAI3898",2018,1,3,100,15,5
"176","Israel_493","WAI3898",2018,2,3,100,3,5
"177","Kavkaz-K4500L.6.A.4","WAI3898",2018,1,12,2,0,1
"178","Kavkaz-K4500L.6.A.4","WAI3898",2018,2,12,18,0,1.5
"179","Lorikeet","WAI3898",2018,1,9,80,0,4
"180","Lorikeet","WAI3898",2018,2,9,100,2,5
"181","MI696","WAI3898",2018,1,13,12,5,1.5
"182","MI696","WAI3898",2018,2,13,2,0,1
"183","Milan","WAI3898",2018,1,14,5,0,1
"184","Milan","WAI3898",2018,2,14,12,0,1.5
"186","Millewa","WAI3898",2018,2,15,48,18,3.5
"187","Summit","WAI3898",2018,1,16,25,3,2.5
"188","Summit","WAI3898",2018,2,16,100,18,5
"189","Tadorna","WAI3898",2018,1,4,85,12,5
"190","Tadorna","WAI3898",2018,2,4,100,8,5
"191","Thornbill","WAI3898",2018,1,18,100,15,5
"192","Thornbill","WAI3898",2018,2,18,55,2,3.5
"193","Vernopolis","WAI3898",2018,1,2,70,10,4
"194","Vernopolis","WAI3898",2018,2,2,38,18,3.5
"195","W7984","WAI3898",2018,1,8,10,2,1.5
"196","W7984","WAI3898",2018,2,8,5,0,1
"197","WW11288","WAI3898",2018,1,17,50,6,3.5
"198","WW11288","WAI3898",2018,2,17,70,3,4
"199","WW2449","WAI3898",2018,1,10,100,12,5
"200","WW2449","WAI3898",2018,2,10,100,8,5
"201","Arina","WAI3899",2018,1,11,0,0,1
"202","Arina","WAI3899",2018,2,11,2,0,1
"203","AUS4203","WAI3899",2018,1,19,60,18,3.5
"204","AUS4203","WAI3899",2018,2,19,38,2,3
"205","AUS4204","WAI3899",2018,1,20,60,3,3.5
"206","AUS4204","WAI3899",2018,2,20,100,1,5
"207","Bulgaria_88","WAI3899",2018,1,1,5,0,1
"208","Bulgaria_88","WAI3899",2018,2,1,10,0,1.5
"209","CPI133872","WAI3899",2018,1,5,10,0,1.5
"210","CPI133872","WAI3899",2018,2,5,15,0,1.5
"212","Currawong","WAI3899",2018,2,7,95,12,4.5
"213","Hereward","WAI3899",2018,1,6,100,20,5
"214","Hereward","WAI3899",2018,2,6,100,10,5
"215","Israel_493","WAI3899",2018,1,3,18,0,2
"216","Israel_493","WAI3899",2018,2,3,5,0,1
"217","Kavkaz-K4500L.6.A.4","WAI3899",2018,1,12,2,0,1
"218","Kavkaz-K4500L.6.A.4","WAI3899",2018,2,12,5,0,1
"219","Lorikeet","WAI3899",2018,1,9,100,18,5
"220","Lorikeet","WAI3899",2018,2,9,100,18,5
"221","MI696","WAI3899",2018,1,13,3,0,1
"222","MI696","WAI3899",2018,2,13,8,0,1
"223","Milan","WAI3899",2018,1,14,28,5,3
"224","Milan","WAI3899",2018,2,14,18,0,1.5
"225","Millewa","WAI3899",2018,1,15,58,5,3.5
"226","Millewa","WAI3899",2018,2,15,85,18,4.5
"227","Summit","WAI3899",2018,1,16,100,20,5
"228","Summit","WAI3899",2018,2,16,95,28,5
"229","Tadorna","WAI3899",2018,1,4,25,8,3
"230","Tadorna","WAI3899",2018,2,4,5,0,1
"231","Thornbill","WAI3899",2018,1,18,100,15,5
"232","Thornbill","WAI3899",2018,2,18,100,5,5
"233","Vernopolis","WAI3899",2018,1,2,28,3,2.5
"234","Vernopolis","WAI3899",2018,2,2,23,3,2.5
"235","W7984","WAI3899",2018,1,8,2,0,1
"236","W7984","WAI3899",2018,2,8,8,0,1
"237","WW11288","WAI3899",2018,1,17,85,2,4
"238","WW11288","WAI3899",2018,2,17,18,2,1.5
"239","WW2449","WAI3899",2018,1,10,100,25,5
"240","WW2449","WAI3899",2018,2,10,100,15,5
"241","Arina","WAI3900",2018,1,11,0,0,1
"242","Arina","WAI3900",2018,2,11,10,0,1.5
"243","AUS4203","WAI3900",2018,1,19,95,12,5
"244","AUS4203","WAI3900",2018,2,19,100,40,5
"245","AUS4204","WAI3900",2018,1,20,5,0,1
"246","AUS4204","WAI3900",2018,2,20,25,5,2.5
"247","Bulgaria_88","WAI3900",2018,1,1,100,18,5
"249","CPI133872","WAI3900",2018,1,5,15,0,1.5
"250","CPI133872","WAI3900",2018,2,5,3,0,1
"251","Currawong","WAI3900",2018,1,7,100,12,5
"253","Hereward","WAI3900",2018,1,6,100,5,5
"254","Hereward","WAI3900",2018,2,6,100,25,5
"255","Israel_493","WAI3900",2018,1,3,68,3,3.5
"256","Israel_493","WAI3900",2018,2,3,33,2,3
"257","Kavkaz-K4500L.6.A.4","WAI3900",2018,1,12,0,0,1
"258","Kavkaz-K4500L.6.A.4","WAI3900",2018,2,12,8,2,1.5
"259","Lorikeet","WAI3900",2018,1,9,100,8,5
"260","Lorikeet","WAI3900",2018,2,9,100,30,5
"261","MI696","WAI3900",2018,1,13,100,15,5
"263","Milan","WAI3900",2018,1,14,5,0,1
"264","Milan","WAI3900",2018,2,14,3,0,1
"265","Millewa","WAI3900",2018,1,15,18,0,2
"266","Millewa","WAI3900",2018,2,15,95,15,5
"267","Summit","WAI3900",2018,1,16,68,8,3.5
"268","Summit","WAI3900",2018,2,16,100,10,5
"269","Tadorna","WAI3900",2018,1,4,100,2,5
"270","Tadorna","WAI3900",2018,2,4,100,28,5
"272","Thornbill","WAI3900",2018,2,18,100,5,5
"273","Vernopolis","WAI3900",2018,1,2,100,25,5
"274","Vernopolis","WAI3900",2018,2,2,100,1,5
"275","W7984","WAI3900",2018,1,8,3,0,1
"276","W7984","WAI3900",2018,2,8,2,0,1
"277","WW11288","WAI3900",2018,1,17,100,5,5
"278","WW11288","WAI3900",2018,2,17,35,18,3.5
"279","WW2449","WAI3900",2018,1,10,100,15,5
"280","WW2449","WAI3900",2018,2,10,100,40,5
"281","Arina","WAI3901",2018,1,11,0,0,1
"282","Arina","WAI3901",2018,2,11,0,0,1
"283","AUS4203","WAI3901",2018,1,19,100,18,5
"284","AUS4203","WAI3901",2018,2,19,100,20,5
"285","AUS4204","WAI3901",2018,1,20,95,3,5
"286","AUS4204","WAI3901",2018,2,20,100,5,5
"287","Bulgaria_88","WAI3901",2018,1,1,2,0,1
"288","Bulgaria_88","WAI3901",2018,2,1,0,0,1
"289","CPI133872","WAI3901",2018,1,5,0,0,1
"290","CPI133872","WAI3901",2018,2,5,5,0,1
"291","Currawong","WAI3901",2018,1,7,100,20,5
"292","Currawong","WAI3901",2018,2,7,100,15,5
"293","Hereward","WAI3901",2018,1,6,100,15,5
"294","Hereward","WAI3901",2018,2,6,100,2,5
"295","Israel_493","WAI3901",2018,1,3,15,2,1.5
"296","Israel_493","WAI3901",2018,2,3,18,3,2
"297","Kavkaz-K4500L.6.A.4","WAI3901",2018,1,12,0,0,1
"298","Kavkaz-K4500L.6.A.4","WAI3901",2018,2,12,0,0,1
"299","Lorikeet","WAI3901",2018,1,9,100,18,5
"300","Lorikeet","WAI3901",2018,2,9,100,20,5
"301","MI696","WAI3901",2018,1,13,2,0,1
"302","MI696","WAI3901",2018,2,13,0,0,1
"303","Milan","WAI3901",2018,1,14,0,0,1
"304","Milan","WAI3901",2018,2,14,0,0,1
"305","Millewa","WAI3901",2018,1,15,18,1,1.5
"306","Millewa","WAI3901",2018,2,15,18,0,1.5
"307","Summit","WAI3901",2018,1,16,100,18,5
"308","Summit","WAI3901",2018,2,16,100,18,5
"309","Tadorna","WAI3901",2018,1,4,85,12,4
"310","Tadorna","WAI3901",2018,2,4,85,25,4.5
"311","Thornbill","WAI3901",2018,1,18,100,12,5
"312","Thornbill","WAI3901",2018,2,18,100,15,5
"313","Vernopolis","WAI3901",2018,1,2,68,3,3.5
"314","Vernopolis","WAI3901",2018,2,2,23,12,3
"315","W7984","WAI3901",2018,1,8,0,0,1
"316","W7984","WAI3901",2018,2,8,3,0,1
"317","WW11288","WAI3901",2018,1,17,15,3,1.5
"318","WW11288","WAI3901",2018,2,17,23,5,2.5
"319","WW2449","WAI3901",2018,1,10,100,15,5
"320","WW2449","WAI3901",2018,2,10,100,20,5
"321","Arina","WAI3902",2018,1,11,0,0,1
"322","Arina","WAI3902",2018,2,11,0,0,1
"323","AUS4203","WAI3902",2018,1,19,85,15,4.5
"324","AUS4203","WAI3902",2018,2,19,70,28,4
"325","AUS4204","WAI3902",2018,1,20,65,2,3.5
"326","AUS4204","WAI3902",2018,2,20,100,5,5
"327","Bulgaria_88","WAI3902",2018,1,1,100,20,5
"328","Bulgaria_88","WAI3902",2018,2,1,100,5,5
"330","CPI133872","WAI3902",2018,2,5,3,0,1
"332","Currawong","WAI3902",2018,2,7,100,25,5
"333","Hereward","WAI3902",2018,1,6,100,5,5
"334","Hereward","WAI3902",2018,2,6,100,10,5
"335","Israel_493","WAI3902",2018,1,3,100,3,5
"336","Israel_493","WAI3902",2018,2,3,23,3,2.5
"337","Kavkaz-K4500L.6.A.4","WAI3902",2018,1,12,0,0,1
"338","Kavkaz-K4500L.6.A.4","WAI3902",2018,2,12,0,0,1
"339","Lorikeet","WAI3902",2018,1,9,100,18,5
"340","Lorikeet","WAI3902",2018,2,9,100,15,5
"341","MI696","WAI3902",2018,1,13,18,3,1.5
"342","MI696","WAI3902",2018,2,13,43,2,3
"344","Milan","WAI3902",2018,2,14,100,10,5
"345","Millewa","WAI3902",2018,1,15,38,1,3
"346","Millewa","WAI3902",2018,2,15,100,5,5
"347","Summit","WAI3902",2018,1,16,100,25,5
"348","Summit","WAI3902",2018,2,16,100,18,5
"349","Tadorna","WAI3902",2018,1,4,100,3,5
"350","Tadorna","WAI3902",2018,2,4,100,20,5
"351","Thornbill","WAI3902",2018,1,18,18,3,1.5
"352","Thornbill","WAI3902",2018,2,18,68,18,3.5
"353","Vernopolis","WAI3902",2018,1,2,28,5,3
"354","Vernopolis","WAI3902",2018,2,2,18,2,2
"355","W7984","WAI3902",2018,1,8,5,0,1
"356","W7984","WAI3902",2018,2,8,5,0,1
"357","WW11288","WAI3902",2018,1,17,28,3,3
"358","WW11288","WAI3902",2018,2,17,58,5,3.5
"359","WW2449","WAI3902",2018,1,10,100,25,5
"360","WW2449","WAI3902",2018,2,10,100,20,5
"361","Arina","WAI3903",2018,1,11,3,0,1
"362","Arina","WAI3903",2018,2,11,8,1,1.5
"363","AUS4203","WAI3903",2018,1,19,100,10,5
"364","AUS4203","WAI3903",2018,2,19,95,2,5
"365","AUS4204","WAI3903",2018,1,20,100,2,5
"366","AUS4204","WAI3903",2018,2,20,100,5,5
"367","Bulgaria_88","WAI3903",2018,1,1,8,2,1
"368","Bulgaria_88","WAI3903",2018,2,1,5,1,1
"369","CPI133872","WAI3903",2018,1,5,8,0,1
"370","CPI133872","WAI3903",2018,2,5,10,1,1.5
"371","Currawong","WAI3903",2018,1,7,100,8,5
"372","Currawong","WAI3903",2018,2,7,100,18,5
"373","Hereward","WAI3903",2018,1,6,100,8,5
"374","Hereward","WAI3903",2018,2,6,100,25,5
"375","Israel_493","WAI3903",2018,1,3,70,23,4
"376","Israel_493","WAI3903",2018,2,3,18,2,2
"377","Kavkaz-K4500L.6.A.4","WAI3903",2018,1,12,0,0,1
"378","Kavkaz-K4500L.6.A.4","WAI3903",2018,2,12,2,0,1
"379","Lorikeet","WAI3903",2018,1,9,100,8,5
"380","Lorikeet","WAI3903",2018,2,9,100,10,5
"381","MI696","WAI3903",2018,1,13,100,1,5
"382","MI696","WAI3903",2018,2,13,23,2,2.5
"384","Milan","WAI3903",2018,2,14,85,3,4.5
"385","Millewa","WAI3903",2018,1,15,100,2,5
"386","Millewa","WAI3903",2018,2,15,100,15,5
"387","Summit","WAI3903",2018,1,16,100,18,5
"388","Summit","WAI3903",2018,2,16,100,23,5
"389","Tadorna","WAI3903",2018,1,4,48,1,3
"390","Tadorna","WAI3903",2018,2,4,100,20,5
"391","Thornbill","WAI3903",2018,1,18,90,5,5
"392","Thornbill","WAI3903",2018,2,18,85,10,5
"393","Vernopolis","WAI3903",2018,1,2,75,18,4
"394","Vernopolis","WAI3903",2018,2,2,23,1,2.5
"395","W7984","WAI3903",2018,1,8,23,8,2.5
"396","W7984","WAI3903",2018,2,8,3,0,1
"397","WW11288","WAI3903",2018,1,17,28,3,3
"398","WW11288","WAI3903",2018,2,17,15,2,1.5
"399","WW2449","WAI3903",2018,1,10,100,18,5
"400","WW2449","WAI3903",2018,2,10,100,15,5
"401","Arina","WAI3904",2018,1,11,0,0,1
"402","Arina","WAI3904",2018,2,11,0,0,1
"403","AUS4203","WAI3904",2018,1,19,100,10,5
"404","AUS4203","WAI3904",2018,2,19,100,12,5
"405","AUS4204","WAI3904",2018,1,20,75,3,4
"406","AUS4204","WAI3904",2018,2,20,100,0,5
"407","Bulgaria_88","WAI3904",2018,1,1,100,15,5
"408","Bulgaria_88","WAI3904",2018,2,1,53,2,3.5
"409","CPI133872","WAI3904",2018,1,5,10,0,1.5
"410","CPI133872","WAI3904",2018,2,5,18,0,2
"411","Currawong","WAI3904",2018,1,7,100,2,5
"412","Currawong","WAI3904",2018,2,7,100,5,5
"413","Hereward","WAI3904",2018,1,6,100,18,5
"414","Hereward","WAI3904",2018,2,6,100,20,5
"415","Israel_493","WAI3904",2018,1,3,15,1,1.5
"416","Israel_493","WAI3904",2018,2,3,15,2,1.5
"417","Kavkaz-K4500L.6.A.4","WAI3904",2018,1,12,0,0,1
"418","Kavkaz-K4500L.6.A.4","WAI3904",2018,2,12,0,0,1
"419","Lorikeet","WAI3904",2018,1,9,100,5,5
"420","Lorikeet","WAI3904",2018,2,9,100,18,5
"421","MI696","WAI3904",2018,1,13,58,8,3.5
"422","MI696","WAI3904",2018,2,13,100,2,5
"423","Milan","WAI3904",2018,1,14,2,0,1
"424","Milan","WAI3904",2018,2,14,0,0,1
"425","Millewa","WAI3904",2018,1,15,12,0,1.5
"426","Millewa","WAI3904",2018,2,15,12,0,1.5
"427","Summit","WAI3904",2018,1,16,95,3,4.5
"428","Summit","WAI3904",2018,2,16,100,8,5
"429","Tadorna","WAI3904",2018,1,4,8,0,1
"430","Tadorna","WAI3904",2018,2,4,12,0,1.5
"432","Thornbill","WAI3904",2018,2,18,100,15,5
"433","Vernopolis","WAI3904",2018,1,2,100,5,5
"434","Vernopolis","WAI3904",2018,2,2,65,1,3.5
"435","W7984","WAI3904",2018,1,8,0,0,1
"436","W7984","WAI3904",2018,2,8,0,0,1
"437","WW11288","WAI3904",2018,1,17,12,1,1.5
"438","WW11288","WAI3904",2018,2,17,23,2,2.5
"439","WW2449","WAI3904",2018,1,10,100,18,5
"440","WW2449","WAI3904",2018,2,10,45,3,3.5
"441","Arina","WAI3905",2018,1,11,0,0,1
"442","Arina","WAI3905",2018,2,11,12,1,1.5
"444","AUS4203","WAI3905",2018,2,19,100,5,5
"446","AUS4204","WAI3905",2018,2,20,100,1,5
"447","Bulgaria_88","WAI3905",2018,1,1,100,2,5
"448","Bulgaria_88","WAI3905",2018,2,1,100,1,5
"449","CPI133872","WAI3905",2018,1,5,3,0,1
"450","CPI133872","WAI3905",2018,2,5,38,1,3
"451","Currawong","WAI3905",2018,1,7,100,5,5
"452","Currawong","WAI3905",2018,2,7,100,8,5
"453","Hereward","WAI3905",2018,1,6,100,5,5
"454","Hereward","WAI3905",2018,2,6,100,2,5
"455","Israel_493","WAI3905",2018,1,3,3,0,1
"456","Israel_493","WAI3905",2018,2,3,5,0,1
"457","Kavkaz-K4500L.6.A.4","WAI3905",2018,1,12,0,0,1
"458","Kavkaz-K4500L.6.A.4","WAI3905",2018,2,12,10,2,1.5
"459","Lorikeet","WAI3905",2018,1,9,100,8,5
"460","Lorikeet","WAI3905",2018,2,9,100,5,5
"461","MI696","WAI3905",2018,1,13,0,0,1
"462","MI696","WAI3905",2018,2,13,12,1,1.5
"463","Milan","WAI3905",2018,1,14,5,0,1
"464","Milan","WAI3905",2018,2,14,0,0,1
"466","Millewa","WAI3905",2018,2,15,100,0,5
"467","Summit","WAI3905",2018,1,16,100,15,5
"468","Summit","WAI3905",2018,2,16,100,12,5
"469","Tadorna","WAI3905",2018,1,4,100,1,5
"470","Tadorna","WAI3905",2018,2,4,38,5,3
"472","Thornbill","WAI3905",2018,2,18,75,3,4
"473","Vernopolis","WAI3905",2018,1,2,18,0,1.5
"474","Vernopolis","WAI3905",2018,2,2,38,15,3.5
"475","W7984","WAI3905",2018,1,8,0,0,1
"476","W7984","WAI3905",2018,2,8,5,0,1
"477","WW11288","WAI3905",2018,1,17,28,0,2.5
"478","WW11288","WAI3905",2018,2,17,100,8,5
"479","WW2449","WAI3905",2018,1,10,100,10,5
"480","WW2449","WAI3905",2018,2,10,100,8,5
"481","Arina","WAI3906",2018,1,11,0,0,1
"482","Arina","WAI3906",2018,2,11,8,0,1
"483","AUS4203","WAI3906",2018,1,19,18,0,2
"484","AUS4203","WAI3906",2018,2,19,100,8,5
"485","AUS4204","WAI3906",2018,1,20,23,0,2
"486","AUS4204","WAI3906",2018,2,20,85,2,4
"487","Bulgaria_88","WAI3906",2018,1,1,18,0,1.5
"488","Bulgaria_88","WAI3906",2018,2,1,18,3,1.5
"489","CPI133872","WAI3906",2018,1,5,33,5,3
"490","CPI133872","WAI3906",2018,2,5,23,0,2
"491","Currawong","WAI3906",2018,1,7,28,2,2.5
"492","Currawong","WAI3906",2018,2,7,28,8,3
"493","Hereward","WAI3906",2018,1,6,100,8,5
"494","Hereward","WAI3906",2018,2,6,100,3,5
"495","Israel_493","WAI3906",2018,1,3,100,5,5
"496","Israel_493","WAI3906",2018,2,3,75,2,4
"497","Kavkaz-K4500L.6.A.4","WAI3906",2018,1,12,23,2,2.5
"498","Kavkaz-K4500L.6.A.4","WAI3906",2018,2,12,35,0,3
"499","Lorikeet","WAI3906",2018,1,9,100,2,5
"500","Lorikeet","WAI3906",2018,2,9,100,5,5
"501","MI696","WAI3906",2018,1,13,0,0,1
"502","MI696","WAI3906",2018,2,13,12,0,1.5
"503","Milan","WAI3906",2018,1,14,0,0,1
"504","Milan","WAI3906",2018,2,14,5,0,1
"505","Millewa","WAI3906",2018,1,15,100,1,5
"506","Millewa","WAI3906",2018,2,15,100,5,5
"507","Summit","WAI3906",2018,1,16,100,2,5
"508","Summit","WAI3906",2018,2,16,100,12,5
"509","Tadorna","WAI3906",2018,1,4,28,5,3
"510","Tadorna","WAI3906",2018,2,4,25,6,2.5
"511","Thornbill","WAI3906",2018,1,18,90,18,5
"512","Thornbill","WAI3906",2018,2,18,100,25,5
"513","Vernopolis","WAI3906",2018,1,2,18,3,2
"514","Vernopolis","WAI3906",2018,2,2,23,1,2
"515","W7984","WAI3906",2018,1,8,3,0,1
"516","W7984","WAI3906",2018,2,8,5,0,1
"517","WW11288","WAI3906",2018,1,17,100,20,5
"518","WW11288","WAI3906",2018,2,17,78,3,4
"519","WW2449","WAI3906",2018,1,10,100,3,5
"520","WW2449","WAI3906",2018,2,10,100,8,5
"521","Arina","WAI3907",2018,1,11,0,0,1
